iter	Passed	Remaining
0	44	26274
1	90	26922
2	134	26547
3	177	26113
4	219	25872
5	262	25762
6	306	25716
7	346	25385
8	385	25046
9	423	24710
10	465	24661
11	503	24436
12	542	24266
13	581	24102
14	620	23954
15	657	23752
16	700	23760
17	740	23682
18	781	23648
19	810	23265
20	845	23057
21	885	23018
22	923	22926
23	961	22845
24	1004	22852
25	1043	22806
26	1080	22699
27	1117	22590
28	1158	22577
29	1195	22484
30	1233	22410
31	1271	22324
32	1316	22379
33	1356	22339
34	1395	22286
35	1434	22228
36	1471	22150
37	1509	22084
38	1545	21999
39	1581	21899
40	1626	21931
41	1663	21865
42	1701	21804
43	1747	21840
44	1785	21777
45	1827	21774
46	1863	21693
47	1901	21632
48	1938	21559
49	1974	21482
50	2013	21432
51	2043	21303
52	2083	21269
53	2126	21264
54	2172	21293
55	2217	21302
56	2256	21260
57	2294	21208
58	2341	21235
59	2377	21159
60	2422	21165
61	2461	21119
62	2504	21106
63	2541	21043
64	2579	20990
65	2617	20936
66	2652	20862
67	2690	20808
68	2727	20753
69	2766	20707
70	2804	20659
71	2844	20620
72	2886	20598
73	2921	20532
74	2958	20473
75	2999	20444
76	3039	20407
77	3076	20354
78	3115	20311
79	3154	20267
80	3193	20225
81	3234	20193
82	3272	20149
83	3311	20104
84	3352	20073
85	3403	20106
86	3459	20158
87	3497	20109
88	3532	20042
89	3568	19986
90	3607	19939
91	3650	19919
92	3693	19897
93	3731	19845
94	3771	19810
95	3807	19753
96	3845	19702
97	3887	19674
98	3925	19628
99	3964	19584
100	4006	19554
101	4046	19520
102	4087	19484
103	4123	19429
104	4164	19393
105	4203	19351
106	4243	19312
107	4281	19267
108	4320	19223
109	4360	19186
110	4397	19133
111	4436	19090
112	4476	19055
113	4519	19028
114	4561	19001
115	4599	18955
116	4640	18919
117	4679	18874
118	4714	18818
119	4757	18790
120	4798	18757
121	4837	18717
122	4877	18676
123	4924	18664
124	4964	18626
125	5003	18585
126	5042	18542
127	5083	18507
128	5124	18470
129	5163	18429
130	5202	18386
131	5241	18343
132	5281	18306
133	5325	18282
134	5364	18240
135	5421	18257
136	5460	18215
137	5500	18176
138	5540	18137
139	5581	18100
140	5621	18060
141	5659	18014
142	5698	17971
143	5733	17917
144	5774	17881
145	5815	17844
146	5857	17812
147	5896	17769
148	5933	17720
149	5974	17685
150	6016	17650
151	6056	17611
152	6098	17578
153	6136	17533
154	6179	17500
155	6225	17479
156	6269	17449
157	6306	17401
158	6346	17362
159	6386	17322
160	6426	17282
161	6464	17239
162	6503	17195
163	6545	17161
164	6585	17121
165	6627	17088
166	6670	17055
167	6707	17008
168	6745	16963
169	6784	16922
170	6821	16873
171	6856	16823
172	6895	16780
173	6936	16743
174	6978	16708
175	7017	16667
176	7056	16623
177	7092	16576
178	7133	16538
179	7170	16492
180	7211	16454
181	7252	16417
182	7292	16377
183	7332	16338
184	7375	16305
185	7414	16264
186	7451	16217
187	7489	16174
188	7525	16126
189	7564	16085
190	7604	16045
191	7645	16007
192	7686	15970
193	7725	15928
194	7763	15885
195	7801	15841
196	7840	15800
197	7883	15766
198	7924	15729
199	7961	15683
200	8003	15647
201	8040	15602
202	8079	15562
203	8118	15520
204	8159	15483
205	8201	15446
206	8241	15407
207	8280	15367
208	8324	15334
209	8362	15292
210	8401	15249
211	8438	15205
212	8480	15169
213	8516	15121
214	8553	15077
215	8591	15035
216	8633	14999
217	8670	14955
218	8711	14916
219	8750	14875
220	8790	14835
221	8832	14799
222	8871	14758
223	8911	14720
224	8954	14685
225	8994	14645
226	9037	14610
227	9076	14570
228	9117	14531
229	9159	14495
230	9200	14457
231	9242	14421
232	9277	14374
233	9320	14338
234	9364	14305
235	9407	14270
236	9449	14234
237	9488	14193
238	9528	14152
239	9567	14112
240	9608	14074
241	9652	14039
242	9692	14000
243	9731	13959
244	9774	13923
245	9811	13880
246	9854	13843
247	9897	13808
248	9940	13773
249	9979	13732
250	10020	13693
251	10060	13653
252	10101	13615
253	10141	13574
254	10182	13536
255	10220	13494
256	10258	13452
257	10294	13406
258	10339	13373
259	10384	13339
260	10424	13299
261	10463	13259
262	10505	13222
263	10550	13187
264	10591	13149
265	10633	13111
266	10676	13075
267	10719	13039
268	10760	13000
269	10801	12961
270	10839	12919
271	10879	12879
272	10919	12839
273	10961	12801
274	11001	12761
275	11039	12719
276	11081	12681
277	11121	12642
278	11158	12598
279	11200	12560
280	11239	12518
281	11279	12479
282	11320	12440
283	11367	12407
284	11407	12368
285	11449	12330
286	11486	12287
287	11525	12246
288	11565	12205
289	11608	12169
290	11648	12129
291	11687	12088
292	11732	12052
293	11773	12013
294	11812	11972
295	11853	11933
296	11894	11894
297	11935	11855
298	11976	11815
299	12020	11780
300	12061	11740
301	12101	11700
302	12145	11664
303	12184	11622
304	12220	11579
305	12260	11538
306	12299	11498
307	12343	11461
308	12386	11424
309	12427	11385
310	12465	11343
311	12506	11303
312	12544	11262
313	12584	11221
314	12623	11181
315	12664	11141
316	12706	11103
317	12747	11064
318	12789	11025
319	12830	10986
320	12873	10948
321	12915	10910
322	12953	10868
323	13000	10833
324	13039	10793
325	13080	10752
326	13123	10715
327	13163	10675
328	13205	10636
329	13245	10596
330	13286	10556
331	13331	10520
332	13396	10499
333	13438	10461
334	13477	10420
335	13519	10380
336	13559	10340
337	13596	10297
338	13636	10257
339	13677	10217
340	13716	10176
341	13754	10135
342	13794	10094
343	13835	10054
344	13877	10015
345	13919	9977
346	13959	9936
347	13999	9896
348	14040	9856
349	14080	9816
350	14119	9775
351	14161	9735
352	14204	9697
353	14246	9658
354	14285	9617
355	14325	9576
356	14371	9540
357	14416	9503
358	14458	9464
359	14497	9423
360	14535	9381
361	14574	9340
362	14615	9301
363	14657	9261
364	14699	9222
365	14739	9181
366	14777	9140
367	14816	9099
368	14859	9060
369	14898	9019
370	14939	8979
371	14982	8940
372	15020	8899
373	15060	8859
374	15107	8822
375	15150	8783
376	15190	8743
377	15232	8704
378	15273	8664
379	15316	8625
380	15360	8587
381	15400	8547
382	15440	8506
383	15481	8466
384	15522	8426
385	15562	8385
386	15602	8345
387	15642	8305
388	15688	8267
389	15730	8228
390	15770	8187
391	15811	8147
392	15852	8107
393	15892	8067
394	15934	8027
395	15975	7987
396	16013	7946
397	16047	7902
398	16087	7862
399	16129	7822
400	16172	7783
401	16207	7740
402	16247	7700
403	16286	7659
404	16327	7619
405	16369	7580
406	16411	7540
407	16453	7500
408	16495	7461
409	16536	7421
410	16574	7380
411	16614	7339
412	16656	7299
413	16700	7261
414	16740	7220
415	16779	7179
416	16822	7140
417	16861	7099
418	16903	7059
419	16945	7020
420	16984	6979
421	17027	6940
422	17069	6900
423	17109	6859
424	17153	6821
425	17195	6781
426	17241	6743
427	17284	6703
428	17322	6662
429	17366	6623
430	17409	6584
431	17451	6544
432	17489	6502
433	17531	6463
434	17571	6422
435	17609	6381
436	17650	6341
437	17692	6301
438	17734	6261
439	17776	6221
440	17815	6181
441	17857	6140
442	17900	6101
443	17940	6061
444	17983	6021
445	18021	5980
446	18064	5940
447	18105	5900
448	18145	5860
449	18190	5820
450	18232	5780
451	18272	5740
452	18314	5700
453	18353	5659
454	18395	5619
455	18433	5578
456	18474	5538
457	18513	5497
458	18556	5457
459	18595	5416
460	18633	5375
461	18674	5335
462	18712	5294
463	18754	5254
464	18795	5214
465	18835	5173
466	18878	5133
467	18919	5093
468	18958	5052
469	19001	5013
470	19045	4973
471	19089	4934
472	19141	4896
473	19179	4855
474	19219	4814
475	19260	4774
476	19300	4734
477	19340	4693
478	19385	4654
479	19426	4613
480	19466	4573
481	19508	4533
482	19547	4492
483	19587	4451
484	19627	4411
485	19669	4371
486	19712	4331
487	19750	4290
488	19791	4249
489	19829	4208
490	19868	4168
491	19910	4127
492	19951	4087
493	19991	4046
494	20030	4006
495	20071	3965
496	20114	3925
497	20155	3885
498	20193	3844
499	20232	3803
500	20272	3763
501	20311	3722
502	20351	3681
503	20401	3643
504	20443	3602
505	20484	3562
506	20522	3521
507	20564	3481
508	20604	3440
509	20645	3400
510	20686	3360
511	20727	3319
512	20766	3278
513	20805	3238
514	20845	3197
515	20884	3156
516	20926	3116
517	20969	3076
518	21010	3036
519	21050	2995
520	21089	2955
521	21128	2914
522	21169	2873
523	21210	2833
524	21251	2793
525	21292	2752
526	21334	2712
527	21373	2671
528	21420	2632
529	21460	2591
530	21502	2551
531	21543	2510
532	21586	2470
533	21627	2430
534	21669	2389
535	21714	2349
536	21757	2309
537	21800	2269
538	21844	2229
539	21890	2189
540	21933	2148
541	21978	2108
542	22020	2068
543	22061	2027
544	22103	1987
545	22145	1946
546	22189	1906
547	22231	1866
548	22273	1825
549	22318	1785
550	22361	1745
551	22404	1704
552	22446	1664
553	22486	1623
554	22525	1582
555	22564	1542
556	22607	1501
557	22647	1461
558	22686	1420
559	22729	1379
560	22770	1339
561	22813	1298
562	22855	1258
563	22896	1217
564	22939	1177
565	22982	1136
566	23023	1096
567	23064	1055
568	23103	1015
569	23145	974
570	23190	934
571	23233	893
572	23275	853
573	23318	812
574	23362	771
575	23427	732
576	23467	691
577	23512	650
578	23550	610
579	23594	569
580	23632	528
581	23677	488
582	23718	447
583	23760	406
584	23803	366
585	23844	325
586	23887	284
587	23926	244
588	23968	203
589	24007	162
590	24048	122
591	24090	81
592	24130	40
593	24171	0
